Date	Price	Earnings
2024.11	6130.231315	213.8581646
2024.12	6211.754681	217.1925368
2025.01	6139.124975	218.0113524
2025.02	6172.462761	219.2687713
2025.03	5796.87243	220.9936612
2025.04	5459.136557	222.2866882
2025.05	5895.616344	223.7984367
2025.06	6097.05357	225.0063423
2025.07	6356.968717	228.9478619
2025.08	6451.965861	232.5605199
2025.09	6611.394069	236.2281562
2025.1	6755.129665	241.8994003
2025.11	6783.073258	248.7034833
2025.12	6897.361793	254.7475206
2026.01	6948.263515
2026.02	6900.142632
2026.03	6869.5
