date,noncomm_net,comm_net,nonrept_net,noncomm_idx,comm_idx,nonrept_idx
2013-11-12,121120,-130946,9826,83.26801326499849,12.05382563610753,76.9162154220711
2013-11-19,113774,-120311,6537,78.83870967741936,17.365960380016183,73.46471896906351
2013-11-26,125800,-128104,2304,86.08984021706361,13.473391874207051,69.02258321789867
2013-12-03,130244,-133774,3530,88.7693699125716,10.641252335141507,70.30915501825966
2013-12-10,118491,-116846,-1645,81.68284594513115,19.09671232055624,64.87847878100995
2013-12-17,126474,-135221,8747,86.49623153451914,9.918482332843828,75.78390630902909
2013-12-24,99893,-112586,12693,70.46909858305698,21.224563191176912,79.92486252780925
2013-12-31,100298,-111875,11577,70.71329514621647,21.579704498456557,78.75372539142845
2014-01-07,93821,-110428,16607,66.80795899909558,22.30247450075424,84.03223775343156
2014-01-14,89225,-102905,13680,64.03678022309316,26.06017921898882,80.9606262855224
2014-01-21,94962,-111825,16863,67.49593005728067,21.60467927393333,84.30088569869454
2014-01-28,93923,-122405,28482,66.86946035574314,16.32001678304912,96.49393443311087
2014-02-04,79037,-107708,28671,57.89388001205909,23.661102286690443,96.69227217394955
2014-02-11,63844,-84185,20341,48.733192643955384,35.41073515749093,87.95071989254082
2014-02-18,86735,-106145,19410,62.53542357552005,24.441813768094224,86.97372287285397
2014-02-25,113995,-133107,19112,78.97196261682242,10.974415840001598,86.66099987407128
2014-03-04,113240,-132842,19602,78.516731986735,11.10678215002847,87.1752088318012
2014-03-11,91788,-112669,20881,65.58215254748266,21.183105063885474,88.51739915207992
2014-03-18,98673,-122865,24192,69.73349412119384,16.09024884866285,91.99198253788356
2014-03-25,71334,-89007,17673,53.24932167621345,33.00216781051138,85.15090458800319
2014-04-01,74066,-97151,23085,54.89659330720531,28.934276380855337,90.8302900558284
2014-04-08,41539,-79800,38261,35.28429303587579,37.60102296680353,100.0
2014-04-15,34328,-64023,29695,30.93638830268315,45.48156362074305,91.57967167993709
2014-04-22,25233,-54642,29409,25.452517334941213,50.16733099569435,91.2985353386415
2014-04-29,37115,-72442,35327,32.61682242990654,41.27631092596477,97.1158950162194
2014-05-06,39888,-76937,37049,34.288815194452816,39.03107861060329,98.80861102919492
2014-05-13,32016,-79090,47074,29.542357552004823,37.95566477857364,100.0
2014-05-20,22680,-67788,45108,23.913174555321074,43.60096302734238,98.2215065630569
2014-05-27,43092,-61969,18877,36.22068133855894,46.5075273973287,74.49227902264278
2014-06-03,49668,-78983,29315,40.1857099788966,38.00911079809393,83.93475841980045
2014-06-10,53510,-74490,20980,42.502261079288516,40.25334412243634,76.39470613245524
2014-06-17,66534,-82546,16012,48.24499647993564,36.22940829761941,71.90052739657871
2014-06-24,53139,-56214,3075,39.34472970575563,49.38212405470475,60.197389251241596
2014-07-01,49445,-52132,2687,37.004207111539145,51.421064724628124,59.84639461566992
2014-07-08,44894,-55707,10813,34.12068834427351,49.63536827803918,67.19738020498811
2014-07-15,51893,-56166,4273,38.55526269103074,49.406099839162444,61.28113041983662
2014-07-22,63620,-66705,3085,45.98550320602175,44.14191666416919,60.206435504735715
2014-07-29,64596,-67446,2850,46.60389791418506,43.77179049160348,59.993848547624005
2014-08-05,63500,-72216,8716,45.90947106977216,41.38919691111977,65.30038084727211
2014-08-12,50236,-56850,6614,37.505385609651015,49.064444910640255,63.398858362809044
2014-08-19,47785,-61218,13433,35.952429226753175,46.88264852498976,69.56749862044634
2014-08-26,52856,-66437,13581,39.16542058443369,44.275781460724666,69.70138317215925
2014-09-02,54115,-68687,14572,39.96312441391895,43.15191656427009,70.59786689342609
2014-09-09,54872,-68307,13435,40.442760473426766,43.341724857893524,69.56930787114517
2014-09-16,56154,-78502,22348,41.25503712902653,38.24936813818044,77.63223361045023
2014-09-23,63540,-66858,3318,45.934815115188684,44.06549385121028,60.4172132111486
2014-09-30,69581,-78699,9118,49.762399574220034,38.15096752280197,65.66404023773555
2014-10-07,68687,-76622,7935,49.195960159160606,39.18841969610693,64.59386844938169
2014-10-14,59159,-70865,11706,43.159008540943304,42.06401534450205,68.00521064201261
2014-10-21,39824,-52668,12844,30.908330587728415,51.15333513151717,69.03467428964295
2014-10-28,48020,-65714,17694,36.10132549357528,44.63691671411874,73.42210723428892
2014-11-04,48762,-67794,19032,36.5714575360519,43.59796605428517,74.63249595180156
2014-11-11,68494,-76907,8413,49.07367514002585,39.046063475889355,65.0262793664004
2014-11-18,69151,-72986,3835,49.489951085992345,41.00458536877753,60.88490451679437
2014-11-25,63167,-57975,-5192,45.69848189167955,52.36046179314212,52.71885148765639
2014-12-02,67016,-66643,-373,48.13721266188509,47.686450868423464,57.0782410464706
2014-12-09,72414,-68330,-4084,51.55739159084573,56.29733465724354,10.220771471692816
2014-12-16,64392,-63458,-934,46.47464328256076,59.45914374160388,15.7488329647959
2014-12-23,41676,-61517,19841,32.08175989051372,60.7188053657302,52.20771471692815
2014-12-30,41447,-62586,21139,31.936665230504094,60.02505045785228,54.48562704011793
2015-01-06,48375,-64827,16452,36.32625389664698,58.57069615611757,46.26022252641185
2015-01-13,37748,-56613,18865,29.592974630610538,63.90138166903543,50.49489312414447
2015-01-20,28526,-54600,26074,23.74990495982969,65.20776953578776,63.1462567126461
2015-01-27,19659,-46743,27084,18.131763692120536,70.30677076235163,64.91874627075217
2015-02-03,20154,-44764,24610,18.445396254150086,71.59109345897501,60.57702432347057
2015-02-10,30148,-57622,27474,24.777606001469955,63.246565296679194,65.60317293180303
2015-02-17,50069,-74905,24836,37.399574220037,52.030320139659544,60.97364079884876
2015-02-24,54441,-76235,21794,40.169678384063666,51.16718260226233,55.63511284265206
2015-03-03,61511,-77306,15795,44.649238411435235,50.472129743200355,45.10722684356463
2015-03-10,69401,-82881,13480,49.648351369845656,46.85409081764435,41.044540381173
2015-03-17,57492,-71865,14373,42.10279544820944,54.00320593942462,42.61170194096381
2015-03-24,60848,-75164,14316,44.22916085865626,51.862235461324296,42.511670352040994
2015-03-31,52301,-63832,11531,38.81377195427934,59.216426870185416,36.65252726883867
2015-04-07,59276,-71373,12097,43.233139873786655,54.32250193070239,33.07886580185972
2015-04-14,68088,-76828,8740,48.816433079048075,50.78234007618973,26.65595224428883
2015-04-21,70156,-81322,11166,50.12672022708265,47.86584376561598,31.297593081544406
2015-04-28,88381,-95622,7241,61.674100919988845,38.58549279961581,23.78793096850725
2015-05-05,66873,-64350,-2523,48.046607699521,58.88025751351492,5.106570236865267
2015-05-12,46265,-53584,7319,34.98935550092506,65.86712873728818,23.93716756591283
2015-05-19,55173,-64864,9691,40.63347441518615,58.54668405921253,28.4754907588107
2015-05-26,49229,-54901,5672,36.867349266289885,65.01242788258733,20.785979413002718
2015-06-02,68315,-72863,4548,48.96026053678688,53.35552829858069,18.635441778594114
2015-06-09,47699,-52678,4979,35.89793952910764,66.45510062366554,19.460069643745456
2015-06-16,52597,-53591,994,39.00131789036166,65.862585908144,11.835610148088623
2015-06-23,74701,-86318,11617,53.0064373875358,44.62356170784417,32.16048674090231
